Year,Rank,NOC,Gold,Silver,Bronze,Total,Country_x,Country_Mapped,Country_y,GDP_Per_Capita,Total_Population,Active_Population_Total
1996,71,India,0,0,1,1,India,India,India,386.0,960301044.0,561470150.0
1996,25,Brazil,3,3,9,15,Brazil,Brazil,Brazil,4781.0,161735073.0,101167654.0
1996,26,New Zealand,3,2,1,6,New Zealand,New Zealand,New Zealand,17189.0,3673400.0,2403555.0
1996,27,South Africa,3,1,1,5,South Africa,South Africa,South Africa,3904.0,44541554.0,25975756.0
1996,49,Syria,1,0,0,1,Syria,Syrian Arab Republic,Syrian Arab Republic,946.0,14616801.0,7688438.0
1996,54,Argentina,0,2,1,3,Argentina,Argentina,Argentina,8004.0,35070020.0,21541885.0
1996,55,Namibia,0,2,0,2,Namibia,Namibia,Namibia,2478.0,1602170.0,875381.0
1996,55,Slovenia,0,2,0,2,Slovenia,Slovenia,Slovenia,10724.0,1989872.0,1381978.0
1996,57,Austria,0,1,2,3,Austria,Austria,Austria,30332.0,7948278.0,5328594.0
1996,58,Malaysia,0,1,1,2,Malaysia,Malaysia,Malaysia,4411.0,20330599.0,12312421.0
1996,7,Australia,9,9,23,41,Australia,Australia,Australia,21780.0,18004882.0,11994523.0
1996,6,Italy,13,10,12,35,Italy,Italy,Italy,20650.0,56844303.0,38860972.0
1996,5,France,15,7,15,37,France,France,France,27029.0,59541294.0,38925506.0
1996,4,China,16,22,12,50,China,China,China,603.0,1204855000.0,801384577.0
1996,3,Germany,20,18,27,65,Germany,Germany,Germany,31873.0,81678051.0,55828044.0
1996,49,Burundi,1,0,0,1,Burundi,Burundi,Burundi,169.0,6066316.0,2931922.0
1996,49,Costa Rica,1,0,0,1,Costa Rica,Costa Rica,Costa Rica,3239.0,3535176.0,2151394.0
1996,49,Ecuador,1,0,0,1,Ecuador,Ecuador,Ecuador,2112.0,11590514.0,6807346.0
1996,14,Romania,4,7,9,20,Romania,Romania,Romania,1661.0,22684270.0,15306677.0
