Year,Rank,NOC,Gold,Silver,Bronze,Total,Country_x,Country_Mapped,Country_y,GDP_Per_Capita,Total_Population,Active_Population_Total
2020,77,Turkmenistan,0,1,0,1,Turkmenistan,Turkmenistan,Turkmenistan,7382.0,6949912.0,4515703.0
2020,15,Hungary,6,7,7,20,Hungary,Hungary,Hungary,16125.0,9670419.0,6319780.0
2020,67,Azerbaijan,0,3,4,7,Azerbaijan,Azerbaijan,Azerbaijan,4151.0,10093121.0,7037597.0
2024,52,Tunisia,1,1,1,3,Tunisia,Tunisia,Tunisia,3738.0,12119334.0,8049960.0
2024,62,Dominica,1,0,0,1,Dominica,Dominica,Dominica,8415.0,66826.0,46191.0
2024,74,Mongolia,0,1,0,1,Mongolia,Mongolia,Mongolia,5046.0,3433748.0,2146054.0
2024,2,China,40,27,24,91,China,China,China,12598.0,1412175000.0,975760249.0
2024,50,Portugal,1,2,1,4,Portugal,Portugal,Portugal,24813.0,10434332.0,6605952.0
2024,48,Switzerland,1,2,5,8,Switzerland,Switzerland,Switzerland,93636.0,8777088.0,5767505.0
2024,62,Pakistan,1,0,0,1,Pakistan,Pakistan,Pakistan,1386.0,243700667.0,142756293.0
2024,71,India,0,1,5,6,India,India,India,2445.0,1425423212.0,966626467.0
2024,74,Panama,0,1,0,1,Panama,Panama,Panama,17358.0,4400773.0,2885308.0
2024,84,Zambia,0,0,1,1,Zambia,Zambia,Zambia,1456.0,20152938.0,11226234.0
2024,66,Colombia,0,3,1,4,Colombia,Colombia,Colombia,6630.0,51737944.0,36237340.0
2024,55,Chile,1,1,0,2,Chile,Chile,Chile,15338.0,19553036.0,13480325.0
2024,14,Hungary,6,7,6,19,Hungary,Hungary,Hungary,17792.0,9605074.0,6228108.0
2024,52,Argentina,1,1,1,3,Argentina,Argentina,Argentina,13868.0,45407904.0,29612843.0
2024,65,Mexico,0,3,2,5,Mexico,Mexico,Mexico,11477.0,128613117.0,86098005.0
2024,66,Armenia,0,3,1,4,Armenia,Armenia,Armenia,7018.0,2969200.0,1995964.0
2024,80,Grenada,0,0,2,2,Grenada,Grenada,Grenada,9509.0,116913.0,79803.0
2024,84,Singapore,0,0,1,1,Singapore,Singapore,Singapore,78115.0,5637022.0,4244893.0
2024,33,Bahrain,2,1,1,4,Bahrain,Bahrain,Bahrain,30147.0,1524693.0,1180449.0
2024,32,Cuba,2,1,6,9,Cuba,Cuba,Cuba,13128.0,11059820.0,7570129.0
2024,30,Croatia,2,2,3,7,Croatia,Croatia,Croatia,17753.0,3855641.0,2437319.0
2024,27,Serbia,3,1,1,5,Serbia,Serbia,Serbia,8802.0,6664449.0,4236438.0
2024,44,Jamaica,1,3,2,6,Jamaica,Jamaica,Jamaica,6047.0,2839144.0,2069255.0
2024,26,Bulgaria,3,1,3,7,Bulgaria,Bulgaria,Bulgaria,13302.0,6465097.0,4122370.0
2024,34,Slovenia,2,1,0,3,Slovenia,Slovenia,Slovenia,28295.0,2112076.0,1352205.0
2024,23,Romania,3,4,2,9,Romania,Romania,Romania,15295.0,19048502.0,12280355.0
2024,24,Georgia,3,3,1,7,Georgia,Georgia,Georgia,6571.0,3712502.0,2365454.0
2024,25,Belgium,3,1,6,10,Belgium,Belgium,Belgium,49987.0,11680210.0,7440659.0
2024,12,Canada,9,7,11,27,Canada,Canada,Canada,55597.0,38935934.0,25507454.0
2024,55,Uganda,1,1,0,2,Uganda,Uganda,Uganda,1021.0,47312719.0,25349067.0
2024,59,Dominican Republic,1,0,2,3,Dominican Republic,Dominican Republic,Dominican Republic,10111.0,11230734.0,7358479.0
2024,4,Australia,18,19,16,53,Australia,Australia,Australia,67867.0,26014399.0,16828565.0
2024,51,Greece,1,1,6,8,Greece,Greece,Greece,20923.0,10436882.0,6567260.0
2024,84,Qatar,0,0,1,1,Qatar,Qatar,Qatar,87974.0,2657333.0,2215176.0
2024,70,Lithuania,0,2,2,4,Lithuania,Lithuania,Lithuania,25773.0,2831639.0,1843121.0
2024,55,Botswana,1,1,0,2,Botswana,Botswana,Botswana,7738.0,2439892.0,1554129.0
2024,47,Ethiopia,1,3,0,4,Ethiopia,Ethiopia,Ethiopia,964.0,125384287.0,71681922.0
2024,30,Azerbaijan,2,2,3,7,Azerbaijan,Azerbaijan,Azerbaijan,7600.0,10141756.0,7066358.0
2024,39,Algeria,2,0,1,3,Algeria,Algeria,Algeria,4274.0,45477389.0,28637951.0
2024,29,Denmark,2,2,5,9,Denmark,Denmark,Denmark,68029.0,5903037.0,3752146.0
2024,13,Uzbekistan,8,2,3,13,Uzbekistan,Uzbekistan,Uzbekistan,2322.0,34938955.0,22321376.0
2024,11,New Zealand,10,7,3,20,New Zealand,New Zealand,New Zealand,47412.0,5117100.0,3321682.0
2024,10,Germany,12,13,8,33,Germany,Germany,Germany,48902.0,83797985.0,53319453.0
2024,9,Italy,12,13,15,40,Italy,Italy,Italy,34672.0,59013667.0,37580511.0
2024,80,Albania,0,0,2,2,Albania,Albania,Albania,6655.0,2777689.0,1861085.0
2024,80,Malaysia,0,0,2,2,Malaysia,Malaysia,Malaysia,11972.0,34695493.0,24280146.0
2024,74,Jordan,0,1,0,1,Jordan,Jordan,Jordan,4205.0,11256263.0,7204554.0
2024,74,Fiji,0,1,0,1,Fiji,Fiji,Fiji,5356.0,919422.0,607631.0
2024,74,Cyprus,0,1,0,1,Cyprus,Cyprus,Cyprus,32999.0,1331370.0,930479.0
2024,79,Tajikistan,0,0,3,3,Tajikistan,Tajikistan,Tajikistan,1054.0,10182222.0,6102916.0
2024,73,Kosovo,0,1,1,2,Kosovo,Kosovo,Kosovo,5662.0,1768096.0,1220212.0
2024,84,Peru,0,0,1,1,Peru,Peru,Peru,7126.0,33475438.0,22235789.0
2024,42,Poland,1,4,5,10,Poland,Poland,Poland,17265.0,36821749.0,24176067.0
2024,43,Kazakhstan,1,3,3,7,Kazakhstan,Kazakhstan,Kazakhstan,11625.0,20034609.0,12499203.0
2024,41,Israel,1,5,1,7,Israel,Israel,Israel,58086.0,9557500.0,5724315.0
2024,39,Indonesia,2,0,1,3,Indonesia,Indonesia,Indonesia,4788.0,278830529.0,189329461.0
2024,7,Great Britain,14,22,29,65,Great Britain,United Kingdom,United Kingdom,45758.0,67604000.0,42888267.0
2024,5,France,16,26,22,64,France,France,France,41426.0,68065015.0,41922083.0
2024,60,Guatemala,1,0,1,2,Guatemala,Guatemala,Guatemala,5324.0,17847877.0,11182780.0
2024,60,Morocco,1,0,1,2,Morocco,Morocco,Morocco,3495.0,37329064.0,24669244.0
2024,37,Philippines,2,0,2,4,Philippines,Philippines,Philippines,3499.0,113964338.0,74792145.0
2024,44,South Africa,1,3,2,6,South Africa,South Africa,South Africa,6766.0,62378410.0,41991393.0
2024,44,Thailand,1,3,2,6,Thailand,Thailand,Thailand,6909.0,71735329.0,50552066.0
2024,15,Spain,5,4,9,18,Spain,Spain,Spain,29771.0,47786102.0,31642089.0
2024,16,Sweden,4,4,3,11,Sweden,Sweden,Sweden,56040.0,10486941.0,6519659.0
2024,17,Kenya,4,2,5,11,Kenya,Kenya,Kenya,2099.0,54252461.0,32044126.0
2024,18,Norway,4,1,3,8,Norway,Norway,Norway,106623.0,5457127.0,3540787.0
2024,19,Ireland,4,0,3,7,Ireland,Ireland,Ireland,105993.0,5212836.0,3408271.0
2024,36,Austria,2,0,3,5,Austria,Austria,Austria,52609.0,9041851.0,5955333.0
2024,3,Japan,20,12,13,45,Japan,Japan,Japan,34144.0,125124989.0,73496437.0
2024,22,Ukraine,3,5,4,12,Ukraine,Ukraine,Ukraine,4043.0,41048766.0,27634577.0
2024,20,Brazil,3,7,10,20,Brazil,Brazil,Brazil,8918.0,210306415.0,146259149.0
2024,49,Ecuador,1,2,2,5,Ecuador,Ecuador,Ecuador,6391.0,17823897.0,11876572.0
